white values,brightest color,common color,number of colors,category
2253,254254252,333331,4079,3
2447,254254252,333331,4157,3
2651,255255237,333331,4257,3
2867,255255237,333331,4447,3
3093,255255237,333331,4819,4
3364,255255237,333331,5135,4
3643,255255237,333331,5281,4
3946,255255237,333331,5627,4
4271,255255237,333331,5839,4
30,238237232,283029,271,0
78,238237232,3380122,470,0
126,238237232,145145143,582,0
237,252252247,145145143,1055,0
421,255227149,145145143,1437,0
605,255227149,145145143,1679,1
797,255227149,145145143,2044,1
989,255227149,145145143,2282,1
1183,255227149,145145143,2543,1
1377,255227149,145145143,2855,1
1579,255227149,145145143,3290,2
1792,255255242,145145143,3626,2
2005,255255242,145145143,3747,2
2218,255255242,144134124,3801,2
2438,255255242,144134124,4081,2
2662,255255242,144134124,4249,3
2890,255255242,144134124,4445,3
3121,255255242,144134124,4663,3
3372,255255248,144134124,4897,3
3638,255255248,144134124,5348,3
3904,255255248,144134124,5501,4
4171,255255248,144134124,5913,4
4446,255255248,144134124,6177,4
4748,255255248,144134124,6537,4
5085,255255248,144134124,6946,4
27,241221202,633229,350,0
79,241221202,162161156,622,0
168,254203124,162161156,921,0
262,254203124,162161156,1256,0
399,254203124,162161156,1515,0
540,255252232,162161156,1829,1
681,255252232,162161156,1961,1
840,255252232,162161156,2328,1
1006,255252232,162161156,2495,1
1172,255252232,162161156,2768,1
1349,255254241,162161156,3059,2
1526,255254241,147137128,3183,2
1711,255254241,147137128,3769,2
1896,255254241,147137128,3811,2
2081,255254241,147137128,3975,2
2276,255254241,147137128,4190,3
2483,255255250,147137128,4407,3
2731,255255250,147137128,4712,3
3017,255255250,147137128,5029,3
3308,255255250,147137128,5265,3
3623,255255250,147137128,5710,4
3960,255255250,147137128,6124,4
4303,255255250,147137128,6447,4
4665,255255250,147137128,6791,4
5049,255255250,17412781,7136,4
4,226189178,313026,307,0
71,254251244,313026,607,0
143,254251244,313026,863,0
264,255245235,313026,1224,0
412,255245235,262823,1557,0
560,255245235,160162175,1791,1
708,255245235,91110,2048,1
857,255245235,91110,2124,1
1019,255245235,91110,2454,1
1189,255245235,91110,2661,1
1376,255245235,91110,3029,2
1563,255245235,91110,3165,2
1750,255245235,91110,3296,2
1947,255255248,91110,3517,2
2161,255255248,91110,3949,2
2383,255255248,91110,4025,3
2642,255255248,91110,4584,3
2909,255255248,91110,4756,3
3188,255255248,91110,4966,3
3477,255255248,91110,5053,3
3786,255255248,91110,5404,4
4112,255255248,91110,5930,4
4450,255255248,91110,6114,4
4807,255255248,91110,6521,4
5188,255255254,91110,6883,4
1,234212194,978873,202,0
2,234212194,978873,426,0
8,235206164,978873,718,0
23,235206164,978873,902,0
39,235206164,11411192,1124,0
55,235206164,11411192,1280,1
71,235206164,394140,1451,1
87,235206164,394140,1531,1
103,235206164,394140,1962,1
136,254252242,126119100,2419,1
185,255254247,126119100,2788,2
243,255254247,126119100,2999,2
320,255254247,126119100,3299,2
397,255254247,151139125,3390,2
474,255254247,161149135,3501,2
571,255254247,161149135,3708,3
676,255254247,161149135,3968,3
796,255255246,161149135,4160,3
934,255255246,161149135,4229,3
1086,255255246,161149135,4327,3
1242,255255246,161149135,4771,4
1407,255255246,161149135,5080,4
1586,255255246,161149135,5290,4
1804,255255255,161149135,5588,4
2070,255255255,161149135,5961,4
7,224217202,405171,214,0
44,239222210,405171,439,0
110,246245233,343256,652,0
183,246245233,343256,974,0
302,255207199,343256,1607,0
426,255207199,145147160,1869,1
560,255207199,160162175,2159,1
701,255207199,160162175,2603,1
845,255207199,160162175,2784,1
989,255207199,160162175,2928,1
1133,255207199,156142131,3149,2
1279,255207199,156142131,3323,2
1426,255207199,156142131,3437,2
1573,255207199,156142131,3678,2
1720,255207199,158148136,3786,2
1882,255207199,158148136,3917,3
2051,255207199,158148136,3985,3
2235,255243232,158148136,4076,3
2424,255243232,158148136,4136,3
2623,255243232,158148136,4242,3
2857,255255255,158148136,4539,4
3092,255255255,158148136,4759,4
3349,255255255,158148136,5189,4
3606,255255255,158148136,5549,4
3869,255255255,158148136,5931,4
8,232234246,867667,252,0
17,232234246,867667,321,0
36,232234246,138137151,608,0
70,232234246,856135,774,0
134,243215213,856135,1181,0
209,243215213,856135,1406,1
286,243215213,856135,1686,1
370,243215213,148148148,1970,1
459,243215213,148148148,2369,1
567,255255253,148148148,2631,1
675,255255253,145132116,2788,2
783,255255253,145132116,2996,2
891,255255253,144135130,3127,2
999,255255253,144135130,3241,2
1108,255255253,144135130,3349,2
1230,255255253,144135130,3457,3
1361,255255253,144135130,3539,3
1492,255255253,144135130,3646,3
1630,255255253,144135130,3743,3
1771,255255253,144135130,3780,3
1915,255255253,144135130,4147,4
2074,255255253,144135130,4427,4
2248,255255253,144135130,4600,4
2429,255255253,144135130,4852,4
2616,255255253,144135130,5079,4
33,242225209,343431,315,0
73,242225209,898886,481,0
199,250171168,898886,858,0
336,255249240,12210788,1223,0
482,255249240,176175173,1505,0
639,255249240,176175173,1796,1
797,255249240,176175173,2301,1
957,255249240,176175173,2459,1
1125,255249240,176175173,2693,1
1293,255249240,167169168,2949,1
1463,255249240,167169168,3017,2
1633,255249240,167169168,3095,2
1804,255249240,167169168,3164,2
1979,255249240,167169168,3264,2
2166,255249240,167169168,3388,2
2360,255249240,167169168,3450,3
2563,255254240,167169168,3524,3
2772,255254240,167169168,3845,3
2981,255254240,167169168,4002,3
3205,255254240,167169168,4251,3
3433,255254240,167169168,4529,4
3662,255254240,167169168,4628,4
3892,255254240,167169168,4721,4
4126,255254240,167169168,4819,4
4382,255255253,167169168,5108,4
10,226221210,969495,194,0
29,230189179,1161616,630,0
66,249249247,1161616,886,0
133,249249247,1161616,1450,0
233,249249247,1161616,1736,0
337,249249247,1161616,1869,1
444,249249247,1161616,2217,1
551,249249247,1161616,2370,1
662,251254255,1161616,2675,1
773,251254255,165164169,3024,1
885,251254255,165164169,3058,2
997,251254255,165164169,3216,2
1110,251254255,165164169,3273,2
1223,251254255,165164169,3328,2
1336,251254255,165164169,3364,2
1461,253255252,165164169,3639,3
1595,253255252,165164169,4055,3
1741,253255252,165164169,4319,3
1902,253255252,165164169,4600,3
2071,253255252,165164169,4826,3
2240,253255252,165164169,5036,4
2409,253255252,165164169,5439,4
2595,253255252,165164169,5966,4
2782,253255252,165164169,6242,4
2970,253255252,165164169,6425,4
7,236230233,149148144,235,0
15,236230233,189961,545,0
52,252252250,189961,830,0
99,252252250,174169163,1056,0
161,252252250,174169163,1246,0
225,252252250,135136130,1543,1
302,252252250,135136130,1977,1
383,252252250,135136130,2201,1
472,252252250,135136130,2434,1
561,252252250,177179192,2626,1
650,252252250,177179192,2680,2
739,252252250,177179192,2949,2
830,252252250,177179192,3031,2
922,252252250,177179192,3072,2
1022,252252250,177179192,3227,2
1138,253249232,177179192,3502,3
1270,254255245,177179192,3749,3
1408,254255245,177179192,4068,3
1562,254255245,177179192,4159,3
1776,254255245,177179192,4566,3
1990,254255245,177179192,4685,4
2207,254255245,177179192,5094,4
2426,254255245,16112169,5439,4
2652,254255245,16112169,5918,4
2888,254255245,16112169,6247,4
5,216213205,142141139,274,0
42,232207205,142141139,566,0
93,235235237,162161159,797,0
177,237227205,162161159,1072,0
272,247195144,162161159,1333,0
377,249231189,160159155,1639,1
491,253249237,160159155,1943,1
618,253249237,160159155,2193,1
747,253249237,160159155,2498,1
876,253249237,168170182,2741,1
1008,253249237,168170182,2830,2
1149,253249237,168170182,2979,2
1297,253249237,168170182,3293,2
1446,253249237,168170182,3431,2
1595,253249237,168170182,3586,2
1755,254255255,168170182,3864,3
1922,254255255,168170182,4045,3
2120,255255255,168170182,4591,3
2321,255255255,168170182,4853,3
2523,255255255,168170182,5153,3
2725,255255255,168170182,5529,4
2930,255255255,168170182,5827,4
3162,255255255,168170182,6190,4
3401,255255255,168170182,6662,4
3640,255255255,168170182,6976,4
0,175157143,1109884,354,0
58,247248238,129123125,869,0
134,249248229,232321,1063,0
217,252255253,232321,1311,0
306,252255253,232321,1580,0
398,252255253,232321,1939,1
492,252255253,232321,2178,1
588,252255253,232321,2473,1
711,252255253,232321,2741,1
836,252255253,232321,2950,1
963,252255253,232321,3144,2
1095,255255248,232321,3198,2
1228,255255248,232321,3254,2
1363,255255248,232321,3341,2
1498,255255248,232321,3435,2
1634,255255248,232321,3571,3
1779,255255248,232321,3965,3
1926,255255248,232321,4367,3
2076,255255248,232321,4518,3
2246,255255254,232321,4841,3
2416,255255254,232321,5089,4
2586,255255254,232321,5358,4
2773,255255254,232321,5604,4
2971,255255254,232321,5852,4
3188,255255254,232321,6357,4
0,196196199,158158158,164,0
7,212211207,158155148,447,0
28,220205177,158155148,618,0
49,220205177,158155148,814,0
75,237249183,158155148,1012,0
105,237249183,158155148,1317,1
142,255247224,158155148,1581,1
194,255247224,145147160,1867,1
246,255247224,145147160,2035,1
314,255247224,145147160,2300,1
383,255247224,145147160,2386,2
459,255247224,145147160,2553,2
535,255247224,145147160,2636,2
620,255247224,145147160,2844,2
712,255247224,145147160,2988,2
827,255247224,145147160,3240,3
966,255255255,145147160,3507,3
1112,255255255,145147160,3706,3
1260,255255255,145147160,3837,3
1420,255255255,145147160,4096,3
1580,255255255,145147160,4364,4
1747,255255255,145147160,4620,4
1926,255255255,145147160,4916,4
2105,255255255,145147160,5309,4
2286,255255255,145147160,5452,4
56,244243239,11710797,413,0
123,244243239,404038,808,0
245,254255252,414237,1310,0
374,254255252,414237,1656,0
517,254255252,134128106,1888,0
662,254255252,134128106,2317,1
832,254255252,134128106,2618,1
1027,254255252,134128106,2954,1
1232,254255252,148150163,3267,1
1437,254255252,148150163,3456,1
1647,254255252,148150163,3567,2
1860,254255252,148150163,3664,2
2087,254255252,148150163,3773,2
2325,254255252,148150163,3866,2
2566,254255252,148150163,3950,2
2809,255253244,148150163,4050,3
3066,255253244,148150163,4323,3
3324,255253244,148150163,4613,3
3583,255253244,148150163,4832,3
3845,255253244,148150163,5167,3
4140,255253244,148150163,5613,4
4451,255253244,148150163,5962,4
4763,255253244,148150163,6304,4
5105,255253244,148150163,6684,4
5453,255253244,148150163,7021,4
21,245203166,138133129,284,0
57,245203166,138133129,436,0
99,245203166,138133129,591,0
146,245203166,138133129,824,0
227,248205211,138133129,1120,0
308,248205211,157159172,1406,1
391,248205211,153152157,1737,1
487,248205211,153152157,1976,1
588,248205211,157159172,2210,1
698,248205211,151153166,2501,1
814,248205211,151153166,2639,2
933,248205211,151153166,2871,2
1062,248205211,151153166,2984,2
1204,248205211,151153166,3075,2
1348,248205211,151153166,3164,2
1494,248205211,151153166,3309,3
1654,254254247,151153166,3675,3
1869,255255250,151153166,3967,3
2102,255255250,151153166,4164,3
2371,255255250,151153166,4750,3
2647,255255250,151153166,5145,4
2931,255255250,151153166,5352,4
3229,255255250,151153166,5621,4
3535,255255250,151153166,6003,4
3879,255255250,151153166,6336,4
1,204201192,143138135,303,0
7,206192172,143138135,452,0
30,255250252,143138135,676,0
76,255250252,143138135,1003,0
147,255250252,143138135,1269,0
221,255250252,143138135,1466,1
295,255250252,143138135,1531,1
375,255250252,143138135,1863,1
473,255250252,143138135,2209,1
571,255250252,167169182,2440,1
681,255250252,167169182,2628,2
800,255250252,167169182,2780,2
920,255250252,167169182,3156,2
1060,255250252,167169182,3373,2
1206,255250252,167169182,3495,2
1352,255250252,167169182,3607,3
1504,255250252,167169182,3797,3
1673,255250252,167169182,4032,3
1862,255253237,167169182,4416,3
2062,255253237,167169182,4862,3
2262,255253237,167169182,5080,4
2462,255253237,167169182,5363,4
2695,255253237,167169182,5884,4
2943,255253237,167169182,6009,4
3198,255253237,167169182,6374,4
14,232222205,1019181,330,0
28,232222205,959492,505,0
97,237222219,322922,878,0
170,237222219,136131102,1229,0
243,237222219,136131102,1357,0
317,237222219,136131102,1615,1
396,237222219,1621320,1864,1
475,237222219,1621320,1997,1
568,237222219,1621320,2166,1
661,237222219,1621320,2438,1
755,237222219,1621320,2741,2
859,237222219,1621320,2920,2
963,237222219,1621320,2971,2
1080,237222219,1621320,3049,2
1214,237222219,1621320,3252,2
1348,237222219,1621320,3448,3
1490,244235230,1621320,3900,3
1635,244235230,1621320,4309,3
1786,244235230,1621320,4656,3
1937,244235230,1621320,4922,3
2104,254254254,1621320,5263,4
2286,254254254,1621320,5482,4
2478,254254254,1621320,5962,4
2688,255253251,1621320,6556,4
2902,255253251,1621320,6844,4
46,245235208,120157,478,0
186,254246238,120157,833,0
342,254246238,120157,1123,0
515,254246238,120157,1267,0
714,254246238,959593,1544,0
917,254246238,152154166,1788,1
1123,254246238,152154166,2012,1
1331,254246238,152154166,2162,1
1540,255252235,152154166,2740,1
1750,255252235,152154166,3150,1
1982,255252235,152154166,3360,2
2223,255252235,152154166,3513,2
2469,255252235,152154166,3737,2
2728,255252235,152154166,4014,2
2987,255252235,152154166,4193,2
3252,255252235,152154166,4441,3
3528,255254243,152154166,4721,3
3810,255254243,152154166,5060,3
4095,255254243,152154166,5151,3
4384,255254243,152154166,5524,3
4679,255254243,152154166,5794,4
5015,255254243,152154166,6088,4
5351,255254243,152154166,6328,4
5696,255254243,515771,6618,4
6047,255254243,515771,6694,4
7,233233233,156153146,227,0
41,233233233,133132130,476,0
87,233233233,133132130,704,0
161,233233233,133132130,932,0
256,251235209,133132130,1135,0
362,253255255,133132130,1443,1
470,253255255,133132130,1686,1
578,253255255,133132130,1970,1
702,253255255,133132130,2389,1
826,253255255,133132130,2533,1
951,253255255,133132130,2657,2
1089,253255255,133132130,2788,2
1241,253255255,133132130,2938,2
1397,253255255,133132130,3063,2
1564,253255255,133132130,3128,2
1739,254254252,133132130,3512,3
1919,254254252,133132130,3788,3
2102,254254252,133132130,3924,3
2297,254254252,133132130,4161,3
2504,254254252,133132130,4485,3
2724,254254252,133132130,4848,4
2963,254254252,133132130,5211,4
3223,254254252,133132130,5622,4
3485,254254252,133132130,5873,4
3771,254254252,133132130,6047,4
38,252215180,106106108,257,0
94,252215180,106106108,518,0
150,252215180,149145134,801,0
219,252238212,149145134,1064,0
309,252238212,149145134,1336,0
402,252238212,149145134,1623,1
497,252238212,149145134,1844,1
592,252238212,149145134,1981,1
687,252238212,161163176,2166,1
791,252238212,161163176,2363,1
898,252238212,161163176,2406,2
1015,252238212,161163176,2636,2
1133,252238212,161163176,2891,2
1301,255255255,161163176,3426,2
1470,255255255,160162175,3731,2
1645,255255255,160162175,3870,3
1837,255255255,160162175,4216,3
2033,255255255,160162175,4512,3
2231,255255255,160162175,4730,3
2440,255255255,160162175,4865,3
2651,255255255,160162175,5254,4
2862,255255255,160162175,5559,4
3107,255255255,160162175,6075,4
3352,255255255,160162175,6370,4
3611,255255255,160162175,6857,4
9,215214210,178178178,200,0
20,221218206,173169158,444,0
31,221218206,181181181,629,0
54,221218206,181181181,1211,0
93,255255255,232321,1482,0
140,255255255,232321,1722,1
190,255255255,232321,2003,1
241,255255255,232321,2365,1
299,255255255,232321,2640,1
364,255255255,232321,2907,1
464,255255255,232321,3275,2
565,255255255,232321,3407,2
673,255255255,232321,3736,2
793,255255255,232321,3975,2
913,255255255,232321,4246,2
1035,255255255,232321,4393,3
1168,255255255,171715,4673,3
1325,255255255,171715,4984,3
1485,255255255,171715,5213,3
1646,255255255,171715,5280,3
1808,255255255,171715,5425,4
1995,255255255,171715,5754,4
2182,255255255,171715,6071,4
2381,255255255,171715,6498,4
2581,255255255,171715,6786,4
31,255238206,373321,479,0
98,255238206,373321,840,0
189,255238206,373321,1113,0
283,255238206,373321,1278,0
407,255238206,272725,1682,0
537,255238206,363634,1869,1
670,255238206,363634,2218,1
808,255238206,363634,2620,1
946,255238206,363634,2773,1
1088,255238206,162164177,3029,1
1235,255238206,162164177,3182,2
1385,255238206,162164177,3402,2
1536,255238206,162164177,3778,2
1695,255238206,162164177,4027,2
1871,255238206,162164177,4251,2
2056,255238206,162164177,4379,3
2266,255238206,162164177,4725,3
2480,255238206,162164177,5010,3
2708,255238206,162164177,5313,3
2943,255238206,162164177,5869,3
3200,255238206,162164177,6148,4
3466,255238206,162164177,6530,4
3746,255238206,16112160,6916,4
4032,255238206,16112160,7353,4
4334,255238206,16112160,7515,4
45,238195126,568151,430,0
117,255244218,568151,616,0
201,255244218,162162160,801,0
309,255244218,162162160,949,0
417,255244218,162162160,1104,0
527,255244218,163163173,1369,1
638,255244218,163163173,1625,1
750,255244218,163163173,1709,1
862,255244218,163163173,1822,1
974,255244218,163163173,1912,1
1098,255244218,163163173,2172,2
1242,255244218,163163173,2452,2
1395,255244218,163163173,2611,2
1549,255244218,163163173,2978,2
1708,255244218,163163173,3206,2
1872,255244218,163163173,3588,3
2040,255255248,163163173,3701,3
2225,255255248,163163173,3982,3
2413,255255248,163163173,4299,3
2607,255255248,163163173,4483,3
2804,255255248,163163173,4750,4
3024,255255248,163163173,4965,4
3244,255255248,163163173,5141,4
3466,255255248,163163173,5414,4
3690,255255248,163163173,5504,4
13,238235229,159158156,283,0
50,238235229,159158156,452,0
146,255203196,159158156,838,0
262,255203196,159158156,1156,0
397,255203196,1116171,1486,0
533,255203196,156157162,1706,1
671,255203196,156157162,1959,1
816,255255240,156157162,2281,1
961,255255240,156157162,2397,1
1106,255255240,156157162,2613,1
1267,255255240,156157162,2807,2
1444,255255248,156157162,3138,2
1633,255255248,160150140,3353,2
1823,255255248,160150140,3515,2
2014,255255248,160150140,3691,2
2208,255255248,160150140,3866,3
2403,255255248,160150140,4089,3
2598,255255248,160150140,4255,3
2799,255255251,160150140,4428,3
3009,255255251,160150140,4764,3
3219,255255251,160150140,5005,4
3429,255255251,160150140,5192,4
3641,255255251,160150140,5586,4
3863,255255251,160150140,6013,4
4090,255255251,160150140,6301,4
17,239227210,128123119,323,0
41,239227210,837061,520,0
78,239240226,262520,706,0
124,249253251,262520,770,0
179,249253251,262520,962,0
234,249253251,164166165,1282,1
302,253253253,164166165,1516,1
374,253253253,164166165,1891,1
446,253253253,155157169,2084,1
518,253253253,155157169,2169,1
592,253253253,155157169,2338,2
690,254234168,155157169,2694,2
810,254234168,155157169,3029,2
932,254234168,155157169,3218,2
1057,254234168,155157169,3549,2
1191,254234168,155157169,3868,3
1356,254234168,155157169,4076,3
1555,254234168,155157169,4286,3
1756,254234168,155157169,4439,3
1971,254234168,155157169,4638,3
2207,254234168,155157169,4734,4
2443,254234168,155157169,4963,4
2694,254234168,155157169,5220,4
2956,254234168,155157169,5656,4
3226,254234168,155157169,5849,4
4,212216201,676662,514,0
8,212216201,112113108,685,0
26,238239243,112113108,990,0
69,249197127,112113108,1398,0
123,249197127,112113108,1625,0
199,249197127,112113108,1793,1
276,249197127,112113108,2029,1
353,249197127,112113108,2130,1
435,249197127,112113108,2459,1
520,249197127,112113108,2632,1
609,249197127,112113108,3093,2
698,249197127,112113108,3290,2
788,249197127,112113108,3615,2
899,249197127,112113108,3928,2
1028,249197127,112113108,4226,2
1180,249197127,112113108,4666,3
1332,249197127,112113108,4895,3
1494,249197127,112113108,5244,3
1673,255246226,112113108,5600,3
1861,255246226,112113108,5839,3
2057,255246226,112113108,6109,4
2263,255246226,112113108,6746,4
2474,255246226,112113108,7128,4
2709,255246226,112113108,7371,4
2954,255246226,112113108,7719,4
13,218199166,152151156,259,0
37,221229215,152151156,490,0
89,242212194,152151156,865,0
157,242212194,152151156,1216,0
226,242212194,152151156,1725,0
301,242212194,129124120,1889,1
379,242212194,163165164,2289,1
473,255255238,163165164,2764,1
568,255255238,163165164,3111,1
671,255255238,163165164,3458,1
774,255255238,163165164,3595,2
881,255255238,163165164,3818,2
994,255255238,163165164,4096,2
1124,255255238,163165164,4505,2
1261,255255238,163165164,4741,2
1406,255255238,163165164,5045,3
1558,255255238,163165164,5471,3
1729,255255238,163165164,5804,3
1919,255255238,163165164,6081,3
2117,255255238,163165164,6277,3
2324,255255238,17913694,6716,4
2531,255255238,17913694,6951,4
2749,255255238,17913694,7191,4
2967,255255238,17913694,7548,4
3192,255255238,17913694,8001,4
17,244228215,177161146,295,0
58,244228215,177161146,681,0
99,244228215,177161146,939,0
149,244228215,177161146,1179,0
239,248238228,177161146,1415,0
331,248238228,177161146,1810,1
434,252254240,177161146,2139,1
538,252254240,177161146,2414,1
645,252254240,135137150,2576,1
761,255252244,135137150,2865,1
879,255252244,135137150,3083,2
1012,255252244,135137150,3367,2
1151,255252244,135137150,3500,2
1298,255252244,135137150,3831,2
1455,255252244,135137150,4048,2
1615,255252244,135137150,4408,3
1775,255252244,135137150,4559,3
1947,255252244,135137150,4920,3
2127,255252244,135137150,5100,3
2351,255252244,135137150,5472,3
2588,255252244,135137150,5820,4
2825,255252244,135137150,6096,4
3079,255252244,135137150,6297,4
3344,255252244,135137150,6463,4
3620,255252244,135137150,6759,4
3,220219214,272825,108,0
15,229227223,167164157,369,0
27,229227223,167164157,415,0
47,229227223,167164157,551,0
68,229227223,164160149,768,0
93,229227223,164160149,1083,1
130,229227223,164160149,1418,1
175,229227223,158160173,1708,1
223,229227223,158160173,1885,1
272,236238237,158160173,2039,1
325,236238237,158160173,2158,2
387,252247229,158160173,2287,2
451,252247229,158160173,2541,2
518,252247229,158160173,2725,2
605,252247229,158160173,3106,2
695,252247229,158160173,3528,3
796,252247229,158160173,3753,3
925,254254247,158160173,4265,3
1056,254254247,158160173,4574,3
1213,255238221,158160173,4954,3
1389,255238221,158160173,5286,4
1568,255238221,158160173,5550,4
1752,255238221,158160173,6017,4
1936,255238221,158160173,6328,4
2121,255238221,158160173,6625,4
13,230226215,152143134,194,0
72,241221213,152143134,540,0
146,246230205,152143134,736,0
222,246230205,114104102,1000,0
303,246230205,151147136,1355,0
385,246230205,151147136,1466,1
470,246230205,151147136,1807,1
555,246230205,159159171,2040,1
661,246230205,159159171,2347,1
780,246230205,159159171,2590,1
899,246230205,159159171,2688,2
1024,250220170,159159171,2947,2
1149,250220170,146148161,3214,2
1284,250220170,154156169,3482,2
1419,250220170,154156169,3657,2
1555,250220170,154156169,4004,3
1693,250255241,154156169,4150,3
1848,253255242,154156169,4380,3
2011,255253248,154156169,4599,3
2189,255253248,154156169,5222,3
2372,255253248,154156169,5648,4
2567,255253248,154156169,6025,4
2766,255253248,154156169,6360,4
2965,255253248,154156169,6609,4
3171,255253248,154156169,6827,4
24,226198177,145142135,308,0
87,226198177,145142135,577,0
169,255235174,252620,762,0
253,255235174,252620,1066,0
339,255235174,252620,1289,0
432,255235174,252620,1610,1
526,255235174,154157166,1773,1
623,255235174,154157166,2034,1
732,255235174,154157166,2295,1
846,255235174,154157166,2682,1
963,255235174,154157166,2859,2
1103,255235174,154157166,3117,2
1255,255235174,154157166,3323,2
1413,255235174,154157166,3499,2
1575,255235174,154157166,3777,2
1765,255235174,154157166,4004,3
1956,255235174,154157166,4131,3
2153,255235174,154157166,4384,3
2362,255235174,154157166,4731,3
2571,255235174,154157166,4898,3
2802,255235174,154157166,5214,4
3098,255235174,154157166,5474,4
3395,255235174,154157166,5664,4
3701,255235174,154157166,5999,4
4016,255235174,154157166,6589,4
65,254209139,313131,424,0
165,254209139,858178,602,0
271,254209139,196150,866,0
381,254209139,196150,1215,0
504,254209139,169165153,1479,0
629,254209139,156158170,1734,1
754,254209139,156158170,1832,1
880,254209139,156158170,2017,1
1007,254209139,156158170,2073,1
1145,254209139,156158170,2376,1
1288,254209139,156158170,2621,2
1437,254209139,156158170,2905,2
1590,254209139,156158170,3110,2
1750,254209139,156158170,3197,2
1916,254209139,156158170,3231,2
2113,255253254,156158170,3635,3
2319,255253254,156158170,3804,3
2529,255253254,156158170,3963,3
2739,255253254,156158170,4096,3
2950,255253254,156158170,4247,3
3184,255253254,156158170,4769,4
3420,255253254,156158170,5175,4
3659,255253254,156158170,5483,4
3903,255253254,156158170,5953,4
4155,255253254,156158170,6196,4
14,210209206,128127123,179,0
30,217216217,152149144,441,0
88,230229215,152149144,677,0
148,230229215,152149144,1047,0
209,230229215,152149144,1211,0
275,232215197,152149144,1609,1
341,232215197,150151146,1892,1
407,232215197,150151146,2041,1
482,250236213,150151146,2419,1
563,250236213,150151146,2538,1
660,250236213,150151146,2814,2
760,250236213,150151146,2993,2
879,250236213,29226,3315,2
1005,250236213,29226,3561,2
1132,250236213,29226,3685,2
1265,252240121,29226,3937,3
1406,255248207,29226,4201,3
1560,255248207,29226,4442,3
1721,255248207,29226,4587,3
1890,255248207,29226,4834,3
2070,255248207,29226,5134,4
2258,255248207,29226,5429,4
2448,255248207,29226,5795,4
2650,255248207,29226,6163,4
2856,255248207,29226,6500,4
26,225221212,323328,496,0
58,254240213,323328,672,0
91,254240213,142138127,1023,0
124,254240213,142138127,1355,0
174,254240213,142138127,1758,0
226,254240213,142138127,1906,1
284,254240213,142138127,2096,1
357,254240213,142138127,2478,1
430,254240213,157156161,2699,1
504,254240213,157156161,2985,1
579,254240213,157156161,3173,2
662,254240213,157156161,3399,2
747,254240213,157156161,3640,2
840,254240213,157156161,3818,2
935,255255251,157156161,4043,2
1032,255255251,157156161,4337,3
1139,255255251,157156161,4985,3
1256,255255251,157156161,5258,3
1374,255255251,157156161,5590,3
1493,255255251,157156161,5913,3
1618,255255251,157156161,6082,4
1743,255255251,157156161,6162,4
1890,255255251,157156161,6528,4
2037,255255251,157156161,6829,4
2188,255255251,157156161,7202,4
10,217216211,125122115,148,0
20,217216211,114109105,319,0
110,247240232,114109105,710,0
208,247240232,132127121,836,0
312,247240232,158160173,1215,1
416,247240232,158160173,1354,1
521,247240232,158160173,1471,1
631,247240232,158160173,1557,1
750,247240232,158160173,1826,2
877,247240232,158160173,2123,2
1012,250247234,158160173,2438,2
1150,250247234,158160173,2664,2
1292,250247234,158160173,2937,3
1444,250247234,158160173,3190,3
1597,250247234,158160173,3305,3
1761,253245225,158160173,3582,3
1938,253245225,158160173,4025,4
2123,253245225,158160173,4330,4
2331,253245225,158160173,4459,4
2539,253245225,163165164,4652,4
1,226228217,152151156,262,0
4,226228217,152151156,470,0
20,236204194,152151156,677,0
43,238238233,171167156,865,0
92,238238233,171167156,951,1
141,238238233,147146141,1270,1
195,238238233,147146141,1663,1
255,238238233,147146141,1890,1
315,238238233,147146141,2107,2
395,254255240,147146141,2411,2
476,254255240,147146141,2541,2
557,254255240,147146141,2794,2
653,255255251,147146141,3101,3
758,255255251,147146141,3415,3
872,255255251,147146141,3775,3
1001,255255251,147146141,4042,3
1132,255255251,147146141,4418,4
1266,255255251,147146141,4691,4
1402,255255251,147146141,4946,4
1538,255255251,147146141,5332,4
30,238218133,2210153,464,0
61,238218133,2210153,667,0
136,255206209,2210153,1046,0
216,255206209,141137126,1284,0
300,255206209,141137126,1530,0
385,255206209,141137126,1627,1
475,255206209,141137126,1944,1
567,255206209,141137126,2293,1
670,255206209,141137126,2655,1
774,255206209,141137126,2924,1
892,255206209,141137126,3282,2
1010,255206209,141137126,3472,2
1131,255206209,141137126,3734,2
1268,255206209,141137126,4067,2
1411,255206209,141137126,4191,2
1561,255206209,141137126,4401,3
1716,255206209,141137126,4663,3
1874,255206209,141137126,4807,3
2072,255255255,141137126,5327,3
2277,255255255,141137126,5468,3
2487,255255255,141137126,5884,4
2714,255255255,141137126,6282,4
2956,255255255,141137126,6745,4
3200,255255255,141137126,7198,4
3480,255255255,141137126,7754,4
12,233223196,150140113,217,0
62,255201201,11210084,565,0
190,255254241,11210084,925,0
327,255254241,11210084,1315,0
506,255254241,11210084,1702,0
685,255254241,11210084,1774,1
903,255254241,11210084,2122,1
1134,255254241,11210084,2433,1
1369,255254241,11210084,2695,1
1609,255254241,161163176,2841,1
1852,255254241,161163176,3149,2
2106,255254241,161163176,3304,2
2361,255254241,161163176,3431,2
2616,255254241,161163176,3607,2
2876,255254241,161163176,3809,2
3145,255255255,565241,4108,3
3425,255255255,565241,4410,3
3707,255255255,565241,4678,3
